"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","[TC-CM-005] Save User dengan Konfirmasi Password tidak cocok — harus muncul validation message @negative @regression","webkit","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-CM-006] Klik No pada modal konfirmasi download — modal harus tertutup tanpa download @positive @regression","firefox","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-012] Tambah merchant dengan Full Plan berhasil @positive @smoke","chromium","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-CM-004] Save Payment Network tanpa memilih Payment Network — harus muncul validation message @negative @regression","chromium","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-037] Simpan merchant tanpa mengisi Nama Company — harus muncul validation message @negative @regression","firefox","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-OUT-003] Validasi fitur Async Download (S3) data Outgoing (User Flow) @positive","webkit","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","[TC-OUT-001] Validasi menampilkan data Outgoing Transaction @positive","webkit","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","Show error for invalid merchant","chromium","2026-07-17","skipped","2026-07-17","QR Generate — Mobile Web","","",""
"","0","[TC-INC-003] Validasi fitur Async Download (S3) data Incoming (User Flow) @positive","firefox","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-013] Tambah merchant dengan POS Plan berhasil @positive @regression","firefox","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-OUT-002] Validasi filter data Outgoing Transaction @positive","firefox","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","10294","[TC-INC-004] Validasi fitur Async Download (S3) data Incoming (Show All Downloads) @positive","chromium","2026-07-17","passed","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-037] Simpan merchant tanpa mengisi Nama Company — harus muncul validation message @negative @regression","chromium","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","Run 3 QRIS payment iterations","qris-payment-edge","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","0","[TC-CM-002] Save merchant tanpa mengisi Nama Merchant — harus muncul validation message @negative @regression","chromium","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","Run 3 QRIS payment iterations","qris-payment-chrome","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","0","[TC-CM-006] Klik No pada modal konfirmasi download — modal harus tertutup tanpa download @positive @regression","webkit","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","bulk QR generate (template)","chromium","2026-07-17","skipped","2026-07-17","","","",""
"","0","[TC-INC-001] Validasi menampilkan data Incoming Transaction @positive","webkit","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-013] Tambah merchant dengan POS Plan berhasil @positive @regression","webkit","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","[TC-OUT-003] Validasi fitur Async Download (S3) data Outgoing (User Flow) @positive","chromium","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","938","[TC-INC-001] Validasi menampilkan data Incoming Transaction @positive","chromium","2026-07-17","passed","2026-07-17","Incoming Transaction Flow @regression","","",""
"","0","[TC-CM-003] Save merchant tanpa memilih Aggregator Code — harus muncul validation message @negative @regression","chromium","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","1","Instrument all download scenarios","webkit","2026-07-17","skipped","2026-07-17","Download Flow Instrumentation @diagnostic","","",""
"","0","[TC-OUT-001] Validasi menampilkan data Outgoing Transaction @positive","chromium","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","[TC-INC-003] Validasi fitur Async Download (S3) data Incoming (User Flow) @positive","webkit","2026-07-17","skipped","2026-07-17","Incoming Transaction Flow @regression","","",""
"","1","bulk QR generate (template)","webkit","2026-07-17","skipped","2026-07-17","","","",""
"","0","login (template)","chromium","2026-07-17","skipped","2026-07-17","","","",""
"","0","[TC-OUT-001] Validasi menampilkan data Outgoing Transaction @positive","firefox","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","[TC-CM-004] Save Payment Network tanpa memilih Payment Network — harus muncul validation message @negative @regression","webkit","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-OUT-004] Validasi fitur Async Download (S3) data Outgoing (Show All Downloads) @positive","firefox","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","Run 3 QRIS payment iterations","firefox","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","0","Generate QR successfully on Android","firefox","2026-07-17","skipped","2026-07-17","QR Generate — Mobile Web","","",""
"","0","Generate QR successfully on Android","chromium","2026-07-17","skipped","2026-07-17","QR Generate — Mobile Web","","",""
"","0","[TC-CM-003] Save merchant tanpa memilih Aggregator Code — harus muncul validation message @negative @regression","webkit","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","1","[TC-CM-002] Save merchant tanpa mengisi Nama Merchant — harus muncul validation message @negative @regression","webkit","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-OUT-004] Validasi fitur Async Download (S3) data Outgoing (Show All Downloads) @positive","chromium","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","Run 3 QRIS payment iterations","webkit","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","1","Instrument all download scenarios","chromium","2026-07-17","skipped","2026-07-17","Download Flow Instrumentation @diagnostic","","",""
"","0","[TC-CM-003] Save merchant tanpa memilih Aggregator Code — harus muncul validation message @negative @regression","firefox","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-CM-001] Create Merchant full flow berhasil @positive @smoke","webkit","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","Show error for invalid merchant","webkit","2026-07-17","skipped","2026-07-17","QR Generate — Mobile Web","","",""
"","0","[TC-CM-001] Create Merchant full flow berhasil @positive @smoke","firefox","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","1","login (template)","webkit","2026-07-17","skipped","2026-07-17","","","",""
"","0","[TC-CM-006] Klik No pada modal konfirmasi download — modal harus tertutup tanpa download @positive @regression","chromium","2026-07-17","skipped","2026-07-17","Create Merchant — Full Flow @regression","","",""
"","0","[TC-012] Tambah merchant dengan Full Plan berhasil @positive @smoke","firefox","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","1","[TC-OUT-004] Validasi fitur Async Download (S3) data Outgoing (Show All Downloads) @positive","webkit","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","1","[TC-OUT-002] Validasi filter data Outgoing Transaction @positive","webkit","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
"","0","[TC-037] Simpan merchant tanpa mengisi Nama Company — harus muncul validation message @negative @regression","webkit","2026-07-17","skipped","2026-07-17","User Management - Merchant @regression","","",""
"","0","Show error for invalid merchant","firefox","2026-07-17","skipped","2026-07-17","QR Generate — Mobile Web","","",""
"","0","Run 3 QRIS payment iterations","chromium","2026-07-17","skipped","2026-07-17","QRIS Payment Flow","","",""
"","0","[TC-OUT-002] Validasi filter data Outgoing Transaction @positive","chromium","2026-07-17","skipped","2026-07-17","Outgoing Transaction Flow @regression","","",""
